player_id,sleeper_rank,bye_week,sleeper_proj_dollar
5244,1390,,1
5243,1391,,1
5242,1392,,1
5241,1393,,1
5240,1394,,1
5239,1395,,1
5238,1396,,1
5236,1397,,1
5235,1398,,1
5233,1399,,1
5231,1400,,1
5228,1401,,1
5224,1402,,1
5223,1403,9,1
5220,1404,,1
5217,1405,,1
5211,1406,,1
5210,1407,,1
5209,1408,,1
5207,1409,,1
5201,1410,,1
5199,1411,,1
5197,1412,,1
5196,1413,,1
5195,1414,,1
5185,1415,,1
5176,1416,,1
5171,1417,,1
5170,1418,,1
5169,1419,,1
5168,1420,,1
5167,1421,,1
5166,1422,,1
5163,1423,,1
5162,1424,,1
5156,1425,,1
5155,1426,,1
5154,1427,7,1
515,1428,,1
5145,1429,,1
5144,1430,,1
5143,1431,,1
5142,1432,,1
5140,1433,,1
5139,1434,,1
5138,1435,,1
5137,1436,,1
5136,1437,,1
5134,1438,,1
5133,1439,6,1
5132,1440,,1
5131,1441,,1
5130,1442,,1
5129,1443,,1
5128,1444,,1
5127,1445,7,1
5126,1446,,1
5125,1447,,1
5124,1448,,1
5123,1449,,1
5122,1450,,1
5121,1451,8,1
5120,1452,,1
5117,1453,,1
5116,1454,,1
5113,1455,6,1
5112,1456,,1
5111,1457,,1
5110,1458,,1
5108,1459,,1
5107,1460,,1
5103,1461,,1
5102,1462,,1
5101,1463,,1
5100,1464,,1
5096,1465,,1
5094,1466,,1
5092,1467,,1
5089,1468,,1
5086,1469,14,1
5080,1470,,1
5076,1471,,1
5068,1472,,1
5052,1473,,1
5046,1474,,1
5038,1475,,1
5032,1476,,1
5026,1477,,1
5024,1478,,1
5013,1479,,1
5010,1480,,1
5009,1481,,1
5008,1482,13,1
5007,1483,,1
5005,1484,,1
5004,1485,14,1
5000,1486,,1
4998,1487,,1
4997,1488,,1
4996,1489,,1
4995,1490,13,1
4994,1491,,1
4993,1492,6,1
4992,1493,,1
4988,1494,,1
4985,1495,,1
4973,1496,,1
4972,1497,9,1
4962,1498,,1
4955,1499,,1
4951,1500,,1
4949,1501,,1
4942,1502,,1
4940,1503,,1
4938,1504,,1
4937,1505,13,1
4936,1506,11,1
4934,1507,,1
4931,1508,,1
4930,1509,10,1
4929,1510,,1
4926,1511,9,1
4924,1512,13,1
4923,1513,,1
4922,1514,11,1
4917,1515,,1
4910,1516,,1
491,1517,,1
490,1518,,1
4895,1519,,1
4878,1520,,1
4874,1521,,1
4864,1522,,1
4863,1523,,1
4861,1524,,1
4854,1525,,1
4853,1526,,1
4839,1527,,1
4835,1528,,1
4832,1529,,1
4831,1530,,1
4829,1531,,1
4828,1532,,1
4827,1533,,1
4823,1534,,1
4821,1535,,1
4815,1536,,1
4814,1537,,1
4813,1538,,1
4807,1539,,1
4806,1540,,1
4805,1541,,1
4803,1542,,1
4798,1543,,1
4797,1544,,1
4794,1545,,1
4791,1546,,1
4790,1547,,1
4787,1548,,1
4786,1549,,1
4785,1550,,1
4779,1551,,1
4777,1552,,1
4775,1553,,1
4774,1554,,1
4768,1555,,1
4752,1556,,1
4750,1557,,1
4749,1558,,1
4747,1559,,1
4744,1560,13,1
4741,1561,,1
4738,1562,,1
4733,1563,,1
4731,1564,,1
4730,1565,,1
4728,1566,,1
4727,1567,,1
4725,1568,,1
4721,1569,,1
4718,1570,,1
4710,1571,,1
4708,1572,,1
4704,1573,,1
4699,1574,,1
4697,1575,,1
4696,1576,,1
4683,1577,13,1
4680,1578,,1
4678,1579,,1
4676,1580,,1
4673,1581,,1
4670,1582,,1
4669,1583,,1
4665,1584,,1
4663,1585,,1
4660,1586,,1
4651,1587,,1
4650,1588,,1
4647,1589,,1
4641,1590,,1
4636,1591,,1
4630,1592,,1
4626,1593,,1
